                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0892,                0.68979,                  1.079,                0.91105,                0.89463,                0.94438,                0.62632,                0.83932,                 0.4869,                 1.0302,             0.00082925,             0.00082925,             0.00082925
                     36,                  1.079,                0.66736,                 1.0715,                 0.9566,                0.87951,                0.94191,                0.62716,                0.85841,                0.48016,                 1.0349,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0643,                0.65584,                  1.064,                0.92155,                 0.9066,                0.94612,                0.63525,                0.83631,                0.46742,                 1.0435,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.0554,                0.66984,                 1.0621,                0.89874,                0.91406,                0.94116,                0.63565,                0.83633,                 0.5079,                 1.0261,             0.00079213,             0.00079213,             0.00079213
                     39,                  1.041,                0.65107,                 1.0481,                0.90566,                 0.8752,                0.95527,                0.64536,                0.82231,                0.47489,                 1.0195,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0257,                 0.6338,                 1.0515,                0.89875,                0.90152,                0.94322,                0.64303,                0.81528,                0.45684,                 1.0121,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0525,                0.65994,                 1.0695,                0.90682,                0.92279,                0.95014,                 0.6424,                0.84101,                0.44966,                 1.0185,               0.000755,               0.000755,               0.000755
                     42,                 1.0446,                 0.6297,                 1.0518,                0.90486,                0.91026,                0.93753,                0.64203,                0.83303,                0.44887,                 1.0239,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0324,                0.64132,                 1.0537,                0.89942,                0.92585,                 0.9512,                0.64308,                 0.8488,                0.46756,                  1.024,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0065,                0.61718,                 1.0428,                0.93712,                0.91112,                0.95507,                0.65562,                0.79814,                0.44309,                 1.0109,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.0303,                0.63886,                 1.0352,                0.91647,                0.91911,                0.95997,                0.63692,                0.83911,                0.45388,                 1.0237,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.0227,                0.64292,                 1.0378,                0.91449,                0.89986,                0.93597,                0.61742,                0.83028,                0.47415,                 1.0182,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.0077,                0.63328,                 1.0379,                0.93068,                0.93433,                0.96028,                0.64936,                0.81634,                 0.4484,                 1.0192,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0095,                0.62887,                 1.0388,                0.93668,                0.92019,                 0.9538,                0.63858,                0.79949,                0.44834,                 1.0075,             0.00066838,             0.00066838,             0.00066838
                     49,                0.98881,                0.61749,                 1.0332,                0.93311,                0.89755,                0.94747,                0.64632,                0.80502,                0.44855,                 1.0135,               0.000656,               0.000656,               0.000656
                     50,                0.98129,                0.60605,                 1.0242,                0.91958,                0.93994,                0.96891,                0.66087,                0.79043,                0.43223,                 1.0011,             0.00064362,             0.00064362,             0.00064362
                     51,                0.99655,                0.61315,                 1.0257,                0.94866,                0.91203,                0.95484,                0.66514,                0.81995,                0.42867,                 1.0148,             0.00063125,             0.00063125,             0.00063125
                     52,                0.96241,                0.59273,                 1.0149,                 0.9449,                0.91557,                0.96515,                 0.6639,                0.78225,                0.42646,                 1.0112,             0.00061887,             0.00061887,             0.00061887
                     53,                0.95949,                0.59435,                 1.0157,                0.90843,                0.92305,                0.95252,                0.66324,                0.78186,                0.42629,                 1.0113,              0.0006065,              0.0006065,              0.0006065
                     54,                0.97796,                0.59208,                  1.024,                 0.8619,                0.93156,                0.92861,                0.63916,                 0.7965,                0.45432,                  1.011,             0.00059413,             0.00059413,             0.00059413
                     55,                0.95544,                0.59416,                 1.0169,                0.91983,                 0.9229,                0.95061,                 0.6748,                0.77288,                  0.436,                 1.0017,             0.00058175,             0.00058175,             0.00058175
                     56,                0.96926,                0.60936,                 1.0105,                0.95406,                 0.9058,                0.96895,                0.66466,                0.80058,                0.44121,                 1.0214,             0.00056938,             0.00056938,             0.00056938
                     57,                0.93987,                0.58128,                 1.0085,                0.94661,                0.93959,                0.97305,                0.67007,                0.78232,                0.42012,                 1.0044,               0.000557,               0.000557,               0.000557
                     58,                0.94862,                0.57084,                 1.0171,                0.95183,                0.90458,                0.95831,                0.66961,                0.80326,                0.42487,                 1.0133,             0.00054463,             0.00054463,             0.00054463
                     59,                0.93635,                0.56741,                  1.005,                 0.9454,                0.92759,                0.96877,                0.66211,                0.78366,                0.42271,                 1.0082,             0.00053225,             0.00053225,             0.00053225
                     60,                0.92379,                0.56892,                 0.9978,                0.91136,                0.95681,                0.96998,                0.67248,                0.76754,                0.41811,                 1.0084,             0.00051988,             0.00051988,             0.00051988
                     61,                0.91768,                0.55264,                0.99495,                0.93752,                0.93764,                 0.9587,                0.67811,                0.76502,                0.42669,                 1.0113,              0.0005075,              0.0005075,              0.0005075
                     62,                0.91414,                0.56579,                0.99909,                0.93144,                0.91494,                0.95052,                0.66657,                0.79048,                 0.4101,                 1.0187,             0.00049513,             0.00049513,             0.00049513
                     63,                0.90375,                0.54973,                0.99375,                0.92947,                0.93757,                0.96772,                0.66179,                0.80008,                0.41888,                 1.0065,             0.00048275,             0.00048275,             0.00048275
                     64,                0.90723,                0.55165,                0.99941,                0.94516,                0.95986,                0.97928,                0.67828,                 0.7827,                0.40618,                 1.0203,             0.00047038,             0.00047038,             0.00047038
                     65,                0.89643,                0.55536,                0.98824,                0.96109,                0.92064,                0.97065,                0.68454,                0.79305,                0.41479,                 1.0162,               0.000458,               0.000458,               0.000458
                     66,                0.88341,                0.53598,                  0.981,                0.91796,                0.92787,                 0.9536,                0.67525,                0.76472,                0.41024,                 1.0098,             0.00044563,             0.00044563,             0.00044563
                     67,                0.89006,                0.54476,                0.98527,                0.93036,                 0.9351,                0.95998,                0.67688,                0.76476,                 0.4012,                 1.0056,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.8628,                0.52643,                0.96545,                0.94282,                0.93516,                 0.9711,                0.67241,                0.76542,                0.39995,                  1.001,             0.00042087,             0.00042087,             0.00042087
                     69,                0.87471,                0.52483,                0.98374,                0.95101,                0.92694,                0.97077,                0.67669,                0.77158,                0.41175,                 1.0064,              0.0004085,              0.0004085,              0.0004085
                     70,                0.87397,                 0.5265,                0.97844,                0.92919,                0.93754,                0.95649,                 0.6687,                0.77465,                0.41292,                 1.0038,             0.00039613,             0.00039613,             0.00039613
                     71,                0.89084,                0.54094,                  0.986,                0.93924,                0.94073,                0.96176,                0.67242,                0.76458,                0.39454,                 1.0079,             0.00038375,             0.00038375,             0.00038375
                     72,                0.84099,                0.50587,                0.97507,                0.93965,                0.93085,                0.96829,                0.68517,                0.74916,                0.40129,                0.99844,             0.00037138,             0.00037138,             0.00037138
                     73,                0.84826,                0.50238,                0.96573,                0.91938,                0.95176,                0.96103,                0.67964,                0.74318,                 0.4003,                  1.001,               0.000359,               0.000359,               0.000359
                     74,                0.86644,                0.51088,                0.97621,                0.92815,                0.94377,                0.96259,                0.67469,                0.75232,                0.40417,                 1.0108,             0.00034663,             0.00034663,             0.00034663
                     75,                0.85049,                0.51147,                0.97438,                0.96521,                0.94521,                0.98232,                0.69788,                0.74099,                0.38852,                0.99754,             0.00033425,             0.00033425,             0.00033425
                     76,                0.83458,                0.50712,                0.96594,                0.94346,                0.93383,                0.97149,                0.68369,                0.75187,                0.39759,                 1.0017,             0.00032188,             0.00032188,             0.00032188
                     77,                0.82503,                0.49594,                0.95886,                0.93581,                0.94151,                0.96599,                0.69211,                0.74072,                0.39306,                0.99781,              0.0003095,              0.0003095,              0.0003095
                     78,                0.84445,                0.50229,                0.96157,                0.95564,                0.93688,                0.97697,                0.69021,                0.73447,                0.39353,                 1.0048,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.8371,                0.48726,                 0.9705,                0.95249,                0.95012,                0.97674,                0.69606,                0.73844,                0.38548,                 1.0107,             0.00028475,             0.00028475,             0.00028475
                     80,                0.81794,                0.47719,                0.95257,                0.96451,                0.94645,                0.97821,                0.70635,                0.73285,                0.38083,                 1.0068,             0.00027237,             0.00027237,             0.00027237
                     81,                0.78711,                 0.4621,                 0.9509,                0.94899,                0.93699,                 0.9673,                 0.6924,                0.73999,                0.38516,                 1.0163,                0.00026,                0.00026,                0.00026
                     82,                 0.8126,                0.50255,                0.96366,                0.95775,                0.93649,                0.97481,                0.69971,                0.73025,                0.37793,                 1.0084,             0.00024762,             0.00024762,             0.00024762
                     83,                0.80743,                0.47388,                0.96045,                0.95548,                0.95186,                0.97594,                0.69347,                0.73971,                0.38467,                 1.0078,             0.00023525,             0.00023525,             0.00023525
                     84,                0.80341,                0.47477,                0.95612,                0.93879,                0.94064,                0.96465,                0.69081,                 0.7437,                0.38735,                 1.0216,             0.00022288,             0.00022288,             0.00022288
                     85,                0.79808,                0.47437,                 0.9603,                0.94195,                0.95034,                0.97728,                  0.695,                0.73189,                0.36725,                 1.0067,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.7591,                0.45008,                0.93947,                0.95388,                0.94526,                0.97974,                0.69491,                0.73525,                 0.3745,                 1.0036,             0.00019813,             0.00019813,             0.00019813
                     87,                0.76816,                0.44692,                0.93463,                0.93934,                 0.9496,                0.96641,                0.69192,                0.73803,                0.37546,                 1.0077,             0.00018575,             0.00018575,             0.00018575
                     88,                0.74863,                0.46828,                0.92576,                0.93928,                0.95596,                0.97542,                0.69293,                0.72881,                0.36963,                 1.0031,             0.00017338,             0.00017338,             0.00017338
                     89,                0.79164,                0.45088,                0.96464,                0.95409,                0.92748,                0.97762,                0.70226,                0.73032,                0.36854,                 1.0047,               0.000161,               0.000161,               0.000161
                     90,                 0.7774,                 0.4514,                0.94107,                0.94504,                0.96531,                0.97785,                 0.6964,                 0.7183,                0.36328,                 1.0039,             0.00014862,             0.00014862,             0.00014862
                     91,                0.72805,                0.42167,                0.94175,                0.94911,                0.94952,                0.97675,                0.69593,                0.71478,                0.36905,                 1.0011,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.7109,                0.41799,                0.93619,                0.94442,                0.96134,                0.97666,                0.69649,                0.71729,                0.36802,                 1.0057,             0.00012387,             0.00012387,             0.00012387
                     93,                0.71686,                0.42459,                0.94443,                0.94358,                0.94398,                0.96521,                0.70437,                0.71392,                0.36732,                0.99657,              0.0001115,              0.0001115,              0.0001115
                     94,                0.68342,                0.40298,                0.92533,                0.94727,                0.95021,                0.97716,                0.69036,                 0.7178,                0.36144,                0.99756,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.70479,                 0.4099,                 0.9367,                0.95896,                0.94713,                0.97776,                0.69418,                0.71684,                0.36435,                 1.0021,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.69157,                0.41574,                0.92311,                0.95782,                0.94773,                0.97859,                0.69741,                0.71849,                0.36575,                 1.0063,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.67457,                0.39776,                0.92841,                0.93628,                0.95707,                0.97611,                0.69876,                0.71633,                0.36056,                 1.0056,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 0.6906,                0.40222,                0.92908,                0.96048,                0.92313,                0.97563,                0.69486,                0.71058,                0.36347,                 1.0032,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.66796,                0.39859,                0.91951,                0.95317,                0.93855,                0.97621,                0.69617,                0.70667,                0.36117,                 1.0049,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.66318,                0.39651,                0.91687,                0.95441,                0.93924,                0.97395,                0.70109,                0.70475,                0.36184,                 1.0046,             2.4875e-05,             2.4875e-05,             2.4875e-05
